,Unnamed: 0,Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature
0,0,David Bowie,Space Oddity - 2015 Remaster,0.7272727272727273,0.31794871794871793,0.40298794035639524,0.1,0.6114050558495002,1.0,0.03395833333333333,0.07296482412060301,9.27e-05,0.12521792636652654,0.47454175152749495,0.5391319686655601,318027.0,4
1,1,Crimson Sun,Essence of Creation,0.3333333333333333,0.5241025641025642,0.9549990909816378,0.0,0.8413500080166746,1.0,0.13437500000000002,0.0004020100502512563,8.7e-06,0.25238437083376064,0.29633401221995925,0.6091172956806903,220413.0,4
2,2,P!nk,Raise Your Glass,0.7777777777777778,0.717948717948718,0.708994121681258,0.6,0.8427662872107317,1.0,0.08739583333333334,0.004824120603015075,,0.012306430109732336,0.6364562118126273,0.4891756668991894,202960.0,4
3,3,Shawn Mendes,Wonder,0.797979797979798,0.34153846153846157,0.6369926672518785,0.0,0.8454919566030678,0.0,0.060520833333333336,0.13165829145728644,1.8e-05,0.13547328479130347,0.13441955193482688,0.5608527970878535,172693.0,4
4,4,Backstreet Boys,Helpless When She Smiles - Radio Version,0.47474747474747475,0.4030769230769231,0.8489969497383847,1.0,0.8666025332692,1.0,0.04781250000000001,0.004231155778894473,,0.1488052507435135,0.22606924643584522,0.29677915955066997,4.093116667,4
5,5,Paul McCartney,Pretty Boys (feat. Khruangbin),0.5555555555555556,0.7138461538461538,0.9789995757914309,1.0,0.8338945005611672,0.0,0.04635416666666667,0.0024522613065326633,0.768,0.10163060198953955,0.9796334012219959,0.4049944274729592,348859.0,4
6,6,The Flaming Lips,She Don't Use Jelly,0.5959595959595959,0.3384615384615385,0.5559910310188266,0.6,0.6693923360590027,1.0,0.08291666666666668,0.20804020100502513,4.39e-05,0.3057122346426008,0.515274949083503,0.6968785830547071,222279.0,4
7,7,The Vanities,Wasted All My Days,0.2222222222222222,0.441025641025641,0.9419988283763332,0.9,0.896157340601785,1.0,0.09510416666666667,0.00016683417085427136,1.91e-05,0.0882986360373295,0.5672097759674135,0.36675646854128086,140400.0,4
8,8,pizzagirl,car freshener aftershave,0.35353535353535354,0.6184615384615385,0.7239944246873786,0.6,0.7936775158997381,1.0,0.027604166666666666,0.00135678391959799,1.02e-05,0.17136703927802277,0.39409368635437886,0.5211074495465807,243868.0,4
9,9,Dudu Tassa,בכינו טעינו,0.1919191919191919,0.4133333333333334,0.7419947882947235,0.6,0.7793276682165571,0.0,0.06291666666666668,0.21909547738693466,0.00904,0.04481591631627526,0.6283095723014257,0.6731051403555193,239987.0,4
